n; 4; 2PI; 6.28319; My_2PI; 4.24264
n; 10; 2PI; 6.28319; My_2PI; 5.56231
n; 16; 2PI; 6.28319; My_2PI; 5.85271
n; 22; 2PI; 6.28319; My_2PI; 5.97722
n; 28; 2PI; 6.28319; My_2PI; 6.04608
n; 34; 2PI; 6.28319; My_2PI; 6.08971
n; 40; 2PI; 6.28319; My_2PI; 6.11981
n; 46; 2PI; 6.28319; My_2PI; 6.14182
n; 52; 2PI; 6.28319; My_2PI; 6.15861
n; 58; 2PI; 6.28319; My_2PI; 6.17184
n; 64; 2PI; 6.28319; My_2PI; 6.18253
n; 70; 2PI; 6.28319; My_2PI; 6.19135
n; 76; 2PI; 6.28319; My_2PI; 6.19875
n; 82; 2PI; 6.28319; My_2PI; 6.20504
n; 88; 2PI; 6.28319; My_2PI; 6.21047
n; 94; 2PI; 6.28319; My_2PI; 6.21519
n; 100; 2PI; 6.28319; My_2PI; 6.21933
